id,text,category,intent_hint,created_at
CS-00021,Pages won't load—could it be a DNS problem? this week.,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00022,Is there an outage in Sydney? thanks.,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00023,I need a tax invoice with ABN for my records this week.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00024,How do I reset my OTP? thanks.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00025,I need a tax invoice with ABN for my records for my account.,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00026,I got locked out after too many attempts for my account.,Account Access,reactivate_account,2025-08-26 09:10:26.355576
CS-00027,Which features are included in the standard plan? — please advise.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00028,My router keeps disconnecting every few minutes for my account.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00029,Which features are included in the standard plan? on my laptop and phone.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00030,I want to cancel my subscription before renewal — any quick fix?,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00031,Forgot my security and need access on my laptop and phone.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00032,Do you offer a student discount? asap please.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00033,What are your customer support hours? — any quick fix?,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00034,Which features are included in the standard plan? for my account.,General Inquiry,data_limits,2025-08-26 09:10:26.355576
CS-00035,Certain ports appear to be blocked on my network this week.,Technical Issue,packet_loss,2025-08-26 09:10:26.355576
CS-00036,Forgot my phone number and need access after the latest update.,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00037,Payment failed but the money was deducted?,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00038,Pages won't load—could it be a DNS problem? — any quick fix?,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00039,Please help me update my registered 2FA this week.,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00040,Why does my session keep expiring so fast? on my laptop and phone.,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00041,Wi‑Fi keeps dropping on multiple devices,Technical Issue,router_disconnect,2025-08-26 09:10:26.355576
CS-00042,I need to reactivate my account this week.,Account Access,deactivate_account,2025-08-26 09:10:26.355576
CS-00043,Please issue a refund for the mistaken charge asap please.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00044,How do I change my plan without extra charges? — any quick fix?,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00045,Do you support international roaming? — any quick fix?,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00046,I need a tax invoice with ABN for my records for my account.,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00047,Do you have coverage in Hobart? thanks.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00048,I'm not receiving the username code asap please.,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00049,high latency during video calls since yesterday asap please.,Technical Issue,outage_area,2025-08-26 09:10:26.355576
CS-00050,I need to reactivate my account,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00051,I was charged twice for my subscription for my account.,Billing,invoice_copy,2025-08-26 09:10:26.355576
CS-00052,Is service available at my address in Canberra? today.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00053,Certain ports appear to be blocked on my network for my account.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00054,Internet is not working in my area,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00055,How do business accounts work for teams? after the latest update.,General Inquiry,international_roaming,2025-08-26 09:10:26.355576
CS-00056,Is there a free trial I can test first? after the latest update.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00057,Login keeps failing with an 'invalid credentials' message this week.,Account Access,verify_account,2025-08-26 09:10:26.355576
CS-00058,i was charged twice for my subscription since this morning.,Billing,refund,2025-08-26 09:10:26.355576
CS-00059,My promo code didn't apply at checkout thanks.,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00060,Can you provide a credit note for the overcharge? since this morning.,Billing,promo_code,2025-08-26 09:10:26.355576
CS-00061,Internet is not working in my area on my laptop and phone?,Technical Issue,latency,2025-08-26 09:10:26.355576
CS-00062,What are the contract terms—month‑to‑month or annual? since this morning?,General Inquiry,support_hours,2025-08-26 09:10:26.355576
CS-00063,My promo code didn't apply at checkout thanks.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00064,How do I change my plan without extra charges? today?,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00065,What are the prices and data limits for each plan? for my account.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00066,Do you offer a student discount? for my account.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00067,How do business accounts work for teams? for my account.,General Inquiry,availability,2025-08-26 09:10:26.355576
CS-00068,I got locked out after too many attempts asap please.,Account Access,reactivate_account,2025-08-26 09:10:26.355576
CS-00069,My promo code didn't apply at checkout after the latest update.,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00070,Certain ports appear to be blocked on my network after the latest update.,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00071,I want to know about your plans — any quick fix?,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00072,My invoice is incorrect for this month on my laptop and phone.,Billing,invoice_copy,2025-08-26 09:10:26.355576
CS-00073,How do business accounts work for teams?,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00074,I want to know about your plans after the latest update.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00075,Certain ports appear to be blocked on my network for my account.,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00076,I'm not receiving the password code thanks.,Account Access,locked_out,2025-08-26 09:10:26.355576
CS-00077,Pages won't load—could it be a DNS problem? on my laptop and phone.,Technical Issue,port_blocked,2025-08-26 09:10:26.355576
CS-00078,How do I reset my phone number? for my account.,Account Access,two_factor,2025-08-26 09:10:26.355576
CS-00079,Payment failed but the money was deducted,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00080,Internet is not working in my area thanks.,Technical Issue,slow_speed,2025-08-26 09:10:26.355576
CS-00081,How do I update the router firmware? — any quick fix?,Technical Issue,port_blocked,2025-08-26 09:10:26.355576
CS-00082,Speed is very slow compared to my plan this week?,Technical Issue,slow_speed,2025-08-26 09:10:26.355576
CS-00083,My promo code didn't apply at checkout for my account.,Billing,invoice_copy,2025-08-26 09:10:26.355576
CS-00084,I got locked out after too many attempts after the latest update.,Account Access,reactivate_account,2025-08-26 09:10:26.355576
CS-00085,I was charged twice for my subscription thanks.,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00086,How do business accounts work for teams? on my laptop and phone.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00087,I want to cancel my subscription before renewal on my laptop and phone.,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00088,When does my billing cycle start and end? on my laptop and phone.,Billing,cancel_subscription,2025-08-26 09:10:26.355576
CS-00089,why does my session keep expiring so fast? since this morning.,Account Access,locked_out,2025-08-26 09:10:26.355576
CS-00090,wi‑fi keeps dropping on multiple devices — any quick fix?,Technical Issue,packet_loss,2025-08-26 09:10:26.355576
CS-00091,i need to verify my account to sign in since this morning.,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00092,Please help me update my registered 2FA thanks.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00093,Certain ports appear to be blocked on my network for my account?,Technical Issue,internet_down,2025-08-26 09:10:26.355576
CS-00094,Please issue a refund for the mistaken charge today.,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00095,I'm getting error code APP-19 on login since this morning.,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00096,Forgot my security and need access after the latest update.,Account Access,two_factor,2025-08-26 09:10:26.355576
CS-00097,My 2FA isn't working and I can't sign in asap please?,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00098,I need to reactivate my account today?,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00099,Is there an outage in Canberra? for my account?,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00100,Certain ports appear to be blocked on my network — any quick fix?,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00101,Login keeps failing with an 'invalid credentials' message today.,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00102,How long does installation usually take? after the latest update.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00103,I was charged twice for my subscription this week.,Billing,cancel_subscription,2025-08-26 09:10:26.355576
CS-00104,Do you have coverage in Gold Coast? — any quick fix?,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00105,Which features are included in the standard plan? today.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00106,My promo code didn't apply at checkout on my laptop and phone.,Billing,overcharged,2025-08-26 09:10:26.355576
CS-00107,How can I change my email address? on my laptop and phone.,Account Access,login,2025-08-26 09:10:26.355576
CS-00108,Can I get a copy of last month's invoice? on my laptop and phone.,Billing,overcharged,2025-08-26 09:10:26.355576
CS-00109,My invoice is incorrect for this month since this morning.,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00110,I want to know about your plans thanks.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00111,I need to verify my account to sign in on my laptop and phone.,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00112,How do I update my card details? for my account.,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00113,Do you have coverage in Sydney? on my laptop and phone.,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00114,Can I get a copy of last month's invoice? asap please.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00115,How do I update my card details? today?,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00116,Can you provide a credit note for the overcharge? asap please.,Billing,credit_note,2025-08-26 09:10:26.355576
CS-00117,Do you have coverage in Brisbane? — please advise.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00118,Speed is very slow compared to my plan since this morning.,Technical Issue,internet_down,2025-08-26 09:10:26.355576
CS-00119,Wi‑Fi keeps dropping on multiple devices for my account.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00120,Can I get a copy of last month's invoice? after the latest update.,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00121,Please help me update my registered 2FA — any quick fix?,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00122,How do I reset my security? on my laptop and phone.,Account Access,reactivate_account,2025-08-26 09:10:26.355576
CS-00123,how do i update my card details? on my laptop and phone.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00124,I want to deactivate my account this week.,Account Access,reactivate_account,2025-08-26 09:10:26.355576
CS-00125,I got locked out after too many attempts since this morning.,Account Access,verify_account,2025-08-26 09:10:26.355576
CS-00126,Please help me update my registered 2FA today.,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00127,I'm getting error code E500 on login this week.,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00128,I'm getting error code AUTH-07 on login,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00129,What are your customer support hours? on my laptop and phone.,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00130,How long does installation usually take? on my laptop and phone?,General Inquiry,international_roaming,2025-08-26 09:10:26.355576
CS-00131,what are the prices and data limits for each plan? this week.,General Inquiry,support_hours,2025-08-26 09:10:26.355576
CS-00132,I cannot log in to my account after the latest update.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00133,Internet is not working in my area asap please.,Technical Issue,internet_down,2025-08-26 09:10:26.355576
CS-00134,Do you have coverage in Newcastle? on my laptop and phone.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00135,Do you offer a student discount? — any quick fix?,General Inquiry,availability,2025-08-26 09:10:26.355576
CS-00136,Please help me update my registered security on my laptop and phone?,Account Access,two_factor,2025-08-26 09:10:26.355576
CS-00137,I want to cancel my subscription before renewal after the latest update.,Billing,refund,2025-08-26 09:10:26.355576
CS-00138,i need a tax invoice with abn for my records for my account.,Billing,promo_code,2025-08-26 09:10:26.355576
CS-00139,Speed is very slow compared to my plan — please advise?,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00140,Do you have coverage in Sydney? today?,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00141,My OTP isn't working and I can't sign in — any quick fix?,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00142,My username isn't working and I can't sign in — please advise.,Account Access,verify_account,2025-08-26 09:10:26.355576
CS-00143,Do you support international roaming? since this morning.,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00144,when does my billing cycle start and end? asap please?,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00145,What are the prices and data limits for each plan? after the latest update.,General Inquiry,plans_prices,2025-08-26 09:10:26.355576
CS-00146,When does my billing cycle start and end?,Billing,invoice_copy,2025-08-26 09:10:26.355576
CS-00147,Internet is not working in my area thanks?,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00148,High latency during video calls since yesterday after the latest update.,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00149,Why does my session keep expiring so fast? for my account?,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00150,Please issue a refund for the mistaken charge thanks.,Billing,overcharged,2025-08-26 09:10:26.355576
CS-00151,I want to know about your plans for my account.,General Inquiry,data_limits,2025-08-26 09:10:26.355576
CS-00152,What are the prices and data limits for each plan? since this morning.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00153,Please issue a refund for the mistaken charge this week.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00154,Why does my session keep expiring so fast?,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00155,I need to verify my account to sign in asap please.,Account Access,two_factor,2025-08-26 09:10:26.355576
CS-00156,My router keeps disconnecting every few minutes today.,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00157,Do you support international roaming? today.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00158,I need to reactivate my account on my laptop and phone.,Account Access,two_factor,2025-08-26 09:10:26.355576
CS-00159,I need a tax invoice with ABN for my records after the latest update.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00160,Is service available at my address in Adelaide? asap please?,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00161,Experiencing packet loss while gaming — any quick fix?,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00162,Why does my session keep expiring so fast? after the latest update.,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00163,Forgot my OTP and need access after the latest update.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00164,I want to know about your plans thanks.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00165,I need to reactivate my account this week.,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00166,How do I update my card details? today.,Billing,overcharged,2025-08-26 09:10:26.355576
CS-00167,Which features are included in the standard plan? thanks.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00168,I need to reactivate my account on my laptop and phone.,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00169,how do i update my card details? this week.,Billing,double_charge,2025-08-26 09:10:26.355576
CS-00170,The app crashes when I try to open settings after the latest update.,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00171,I need to verify my account to sign in for my account.,Account Access,deactivate_account,2025-08-26 09:10:26.355576
CS-00172,Is there a free trial I can test first? on my laptop and phone.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00173,I need a tax invoice with ABN for my records this week.,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00174,how do i reset my security? on my laptop and phone.,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00175,pages won't load—could it be a dns problem? asap please.,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00176,I need to verify my account to sign in,Account Access,security_alert,2025-08-26 09:10:26.355576
CS-00177,Pages won't load—could it be a DNS problem?,Technical Issue,wifi_drop,2025-08-26 09:10:26.355576
CS-00178,How do I reset my password? since this morning.,Account Access,verify_account,2025-08-26 09:10:26.355576
CS-00179,how do business accounts work for teams? — any quick fix?,General Inquiry,support_hours,2025-08-26 09:10:26.355576
CS-00180,i cannot log in to my account after the latest update.,Account Access,verify_account,2025-08-26 09:10:26.355576
CS-00181,High latency during video calls since yesterday after the latest update.,Technical Issue,packet_loss,2025-08-26 09:10:26.355576
CS-00182,high latency during video calls since yesterday for my account.,Technical Issue,router_disconnect,2025-08-26 09:10:26.355576
CS-00183,Login keeps failing with an 'invalid credentials' message this week.,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00184,I need to verify my account to sign in for my account.,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00185,Is there a free trial I can test first? today.,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00186,I want to cancel my subscription before renewal — any quick fix?,Billing,double_charge,2025-08-26 09:10:26.355576
CS-00187,How do I reset my password? asap please.,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00188,Can you provide a credit note for the overcharge? asap please.,Billing,refund,2025-08-26 09:10:26.355576
CS-00189,I need a tax invoice with ABN for my records,Billing,overcharged,2025-08-26 09:10:26.355576
CS-00190,What are your customer support hours? — please advise.,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00191,Speed is very slow compared to my plan after the latest update.,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00192,Why does my session keep expiring so fast? thanks?,Account Access,locked_out,2025-08-26 09:10:26.355576
CS-00193,Certain ports appear to be blocked on my network asap please.,Technical Issue,packet_loss,2025-08-26 09:10:26.355576
CS-00194,How do I reset my phone number? for my account.,Account Access,login,2025-08-26 09:10:26.355576
CS-00195,How can I change my email address? thanks.,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00196,Please issue a refund for the mistaken charge on my laptop and phone.,Billing,double_charge,2025-08-26 09:10:26.355576
CS-00197,How do business accounts work for teams? since this morning?,General Inquiry,availability,2025-08-26 09:10:26.355576
CS-00198,High latency during video calls since yesterday,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00199,Do you offer a student discount? thanks.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00200,Do you offer a student discount? this week.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00201,Is service available at my address in Perth? today.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00202,Experiencing packet loss while gaming?,Technical Issue,port_blocked,2025-08-26 09:10:26.355576
CS-00203,I want to cancel my subscription before renewal — any quick fix?,Billing,tax_invoice,2025-08-26 09:10:26.355576
CS-00204,I need to reactivate my account on my laptop and phone.,Account Access,locked_out,2025-08-26 09:10:26.355576
CS-00205,Forgot my OTP and need access after the latest update.,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00206,pages won't load—could it be a dns problem? this week?,Technical Issue,router_disconnect,2025-08-26 09:10:26.355576
CS-00207,How do I reset my 2FA? since this morning.,Account Access,signup_problem,2025-08-26 09:10:26.355576
CS-00208,Is there a free trial I can test first? thanks.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00209,Is there an outage in Perth? — please advise.,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00210,How do I reset my 2FA? thanks?,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00211,Why does my session keep expiring so fast? today?,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00212,Forgot my OTP and need access today.,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00213,I need to verify my account to sign in thanks.,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00214,can i get a copy of last month's invoice? — any quick fix?,Billing,payment_failed,2025-08-26 09:10:26.355576
CS-00215,Do you offer a student discount? asap please.,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00216,How long does installation usually take? on my laptop and phone?,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00217,The app crashes when I try to open settings on my laptop and phone.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00218,Payment failed but the money was deducted,Billing,credit_note,2025-08-26 09:10:26.355576
CS-00219,My invoice is incorrect for this month — any quick fix?,Billing,cancel_subscription,2025-08-26 09:10:26.355576
CS-00220,Do you offer a student discount? for my account.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00221,Can I get a copy of last month's invoice? — please advise.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00222,Is there a free trial I can test first? after the latest update.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00223,My router keeps disconnecting every few minutes,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00224,Is service available at my address in Brisbane? after the latest update.,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00225,How can I change my email address? asap please.,Account Access,session_timeout,2025-08-26 09:10:26.355576
CS-00226,High latency during video calls since yesterday on my laptop and phone.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00227,Can you provide a credit note for the overcharge? asap please?,Billing,update_card,2025-08-26 09:10:26.355576
CS-00228,Wi‑Fi keeps dropping on multiple devices thanks.,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00229,Certain ports appear to be blocked on my network thanks.,Technical Issue,router_disconnect,2025-08-26 09:10:26.355576
CS-00230,Please help me update my registered 2FA this week?,Account Access,login,2025-08-26 09:10:26.355576
CS-00231,How do I update the router firmware? since this morning?,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00232,What are the contract terms—month‑to‑month or annual? after the latest update.,General Inquiry,student_discount,2025-08-26 09:10:26.355576
CS-00233,I want to know about your plans today.,General Inquiry,international_roaming,2025-08-26 09:10:26.355576
CS-00234,What are the prices and data limits for each plan?,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00235,I want to know about your plans today.,General Inquiry,features,2025-08-26 09:10:26.355576
CS-00236,What are your customer support hours? thanks.,General Inquiry,business_account,2025-08-26 09:10:26.355576
CS-00237,I'm not receiving the security code thanks?,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00238,How do I change my plan without extra charges? for my account.,Billing,double_charge,2025-08-26 09:10:26.355576
CS-00239,My router keeps disconnecting every few minutes for my account.,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00240,How do I update my card details? for my account.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00241,I want to know about your plans for my account.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
CS-00242,I need to reactivate my account after the latest update.,Account Access,locked_out,2025-08-26 09:10:26.355576
CS-00243,I'm getting error code APP-19 on login on my laptop and phone?,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00244,My router keeps disconnecting every few minutes for my account.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00245,I want to know about your plans — any quick fix?,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00246,Do you offer a student discount? thanks.,General Inquiry,availability,2025-08-26 09:10:26.355576
CS-00247,Experiencing packet loss while gaming — any quick fix?,Technical Issue,firmware_update,2025-08-26 09:10:26.355576
CS-00248,How do I update my card details? for my account.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00249,Certain ports appear to be blocked on my network after the latest update.,Technical Issue,packet_loss,2025-08-26 09:10:26.355576
CS-00250,My router keeps disconnecting every few minutes on my laptop and phone.,Technical Issue,outage_area,2025-08-26 09:10:26.355576
CS-00251,I got locked out after too many attempts for my account.,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00252,Please issue a refund for the mistaken charge this week?,Billing,credit_note,2025-08-26 09:10:26.355576
CS-00253,Do you offer a student discount? since this morning.,General Inquiry,coverage,2025-08-26 09:10:26.355576
CS-00254,Speed is very slow compared to my plan today?,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00255,please issue a refund for the mistaken charge today.,Billing,credit_note,2025-08-26 09:10:26.355576
CS-00256,How do I reset my phone number? for my account.,Account Access,login,2025-08-26 09:10:26.355576
CS-00257,Can you provide a credit note for the overcharge? since this morning.,Billing,promo_code,2025-08-26 09:10:26.355576
CS-00258,Pages won't load—could it be a DNS problem? thanks.,Technical Issue,app_crash,2025-08-26 09:10:26.355576
CS-00259,What are the prices and data limits for each plan?,General Inquiry,support_hours,2025-08-26 09:10:26.355576
CS-00260,What are the contract terms—month‑to‑month or annual? on my laptop and phone?,General Inquiry,trial,2025-08-26 09:10:26.355576
CS-00261,Can I get a copy of last month's invoice? — please advise.,Billing,update_card,2025-08-26 09:10:26.355576
CS-00262,Certain ports appear to be blocked on my network — please advise.,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00263,My invoice is incorrect for this month after the latest update.,Billing,billing_cycle,2025-08-26 09:10:26.355576
CS-00264,I need to verify my account to sign in on my laptop and phone.,Account Access,username_issue,2025-08-26 09:10:26.355576
CS-00265,Certain ports appear to be blocked on my network,Technical Issue,slow_speed,2025-08-26 09:10:26.355576
CS-00266,How do I reset my username? — any quick fix?,Account Access,password_reset,2025-08-26 09:10:26.355576
CS-00267,How do I change my plan without extra charges? today.,Billing,plan_change,2025-08-26 09:10:26.355576
CS-00268,Is there an outage in Sydney? today.,Technical Issue,slow_speed,2025-08-26 09:10:26.355576
CS-00269,How do I update the router firmware? thanks.,Technical Issue,slow_speed,2025-08-26 09:10:26.355576
CS-00270,Is there a free trial I can test first? — any quick fix?,General Inquiry,data_limits,2025-08-26 09:10:26.355576
CS-00271,How do I update my card details? — please advise.,Billing,invoice_copy,2025-08-26 09:10:26.355576
CS-00272,Payment failed but the money was deducted since this morning.,Billing,refund,2025-08-26 09:10:26.355576
CS-00273,How long does installation usually take? after the latest update.,General Inquiry,availability,2025-08-26 09:10:26.355576
CS-00274,do you offer a student discount? after the latest update.,General Inquiry,contract_terms,2025-08-26 09:10:26.355576
